Unnamed: 0,state,action,pos
,  OO  X  ,7,0.9675
,  OO OXX ,1,0.0
,O O    X ,1,67.3125
,OXO    XO,3,3.0
, O       ,5,11.9475
,OO   X   ,3,4.125
,O        ,5,11.525625
,O    XO  ,1,0.0
,   X  O O,7,0.5625
,O  X  OXO,1,0.0
,  O X   O,7,14.31
,  O X OXO,5,16.95
,O O XXOXO,1,9.0
,  O X   O,3,2.0625
,O OXX   O,1,0.0
,   XO  O ,2,0.0
,  XXOO O ,8,0.0
,  XXOOOOX,0,0.0
,     OOX ,4,3.375
,    XOOXO,1,5.0
,  O    OX,4,9.4275
, OO X  OX,6,0.0
, OO XOXOX,3,0.0
,  O XO   ,1,6.277500000000001
, XO XO O ,8,2.1
,OXO XO OX,3,3.5
,  O    XO,6,1.7775
,  OO  XXO,4,0.75
,O OOX XXO,1,8.0
,    OXO  ,3,1.125
,O  XOXO  ,8,0.75
,OO XOXO X,2,6.0
,O     OX ,8,0.0
,OXO  OOXX,3,0.0
,X O  O   ,7,1.6875
,XOO  O X ,4,0.0
,O    X O ,2,2.0625
,O X  X OO,6,0.75
,O XO XXOO,1,0.0
,        O,2,20.316375
,  X   O O,4,2.0925
,  XOX O O,1,1.5
, XXOXOO O,7,3.0
,XO OX O  ,8,3.0
,  X O  O ,3,0.405
,  XXO OO ,8,0.45
,  XXOOOOX,1,1.5
, X OX OO ,2,0.0
,O     O X,3,2.5875000000000004
,O  X OO X,7,0.0
, X   O O ,3,0.405
, XOX O O ,8,0.45
,O        ,1,15.331499999999997
,OX      O,2,0.0
,X   O O  ,5,0.0
,X   OXOO ,1,0.0
,  O  X O ,6,2.1825
,O O  XXO ,4,2.85
,O OOXXXO ,1,8.5
,      O  ,3,17.518499999999996
, O X  O  ,5,1.5
, OOX XO  ,4,7.0
,  O      ,1,107.5342500000002
, XO    O ,4,7.762500000000003
, XOOX  O ,8,9.15
,OXOOX  OX,6,13.0
,X O  XO O,4,0.75
,   O     ,2,20.296125
,  XO  O  ,0,0.5625
,X XO  OO ,8,0.75
,X XOO OOX,1,7.0
,OOXO O XX,6,2.0
, O  X   O,5,8.055
, OO XX  O,3,4.0
,    O    ,3,11.629124999999997
,   XO   O,2,0.81
,  XXO O O,0,1.2
,XOXXO O O,7,2.5
,   X O  O,2,0.405
,  XX OO O,7,0.45
, OXX OOXO,4,1.0
,O X    O ,3,1.53
,O XX   OO,6,0.75
,OOXX  XOO,4,4.0
,OO XO  X ,5,0.0
,      OXO,4,3.09
,O   X OXO,5,0.75
,  OOX    ,7,15.09
,  OOXO X ,1,8.0
,   O OX  ,4,0.405
,O  OXOX  ,8,1.65
,O  OXOXOX,1,2.5
,OXO      ,7,9.1875
,OXO O  X ,6,3.0
,    OOX  ,7,1.3125
,    OOXXO,2,0.0
,O X O    ,3,0.405
,O XXO  O ,8,0.0
,  XOO    ,5,0.5625
,  XOOX  O,6,0.0
,  XOOXXOO,1,0.0
,  O   OX ,0,5.715
,XOO   OX ,3,0.0
,XOOX  OXO,4,0.0
,  OX  O  ,8,2.25
,  OX OO X,4,2.4
, OOXXOO X,0,13.0
, X  O  O ,0,9.15
,XX  O OO ,5,1.5
,XX OOXOO ,8,0.0
,O XO     ,1,0.0
,OXXO O   ,8,0.0
,OXXO O OX,6,0.0
, O   OX  ,2,0.5625
,OOX  OX  ,3,2.25
,OOXXOOX  ,8,0.0
,  O  X  O,3,0.5625
,  OXOX  O,7,0.0
,X   O   O,1,0.5625
,XX  O O O,7,0.0
,O OOX  X ,5,0.75
,OO    X  ,2,7.5
,OOX O X  ,7,1.5
,OOX OOXX ,3,0.0
,   X  OO ,1,0.0
, XOX  OO ,4,0.0
, XOXXOOO ,0,0.0
,    XO O ,3,0.405
,   XXO OO,1,0.0
,   O     ,0,27.081
,X  O    O,1,4.5
,XX O O  O,7,0.0
, O    XO ,3,3.0
,OO X  XO ,2,0.75
,OOXX  XOO,5,0.0
, O X    O,2,1.53
, OXX   OO,6,0.75
,  OX   O ,6,0.5625
, OOX  XO ,4,3.0
, OOXXOXO ,8,0.0
,  XOO    ,6,0.5625
, O    XO ,2,5.625
, OX   XOO,3,0.75
, OXX OXOO,0,2.0
,   O     ,7,13.32225
,   O  OX ,1,0.5625
, X O  OXO,2,0.75
, X OO    ,7,0.0
, X OO OX ,2,0.0
, XXOO OXO,5,0.0
,O     X O,2,2.0625
, OO  X   ,4,6.712500000000001
, OO XX  O,0,1.2
,XOO XX OO,6,25.5
,X      OO,3,2.25
, X O O   ,6,0.0
,X OO     ,1,0.0
,XXOO    O,5,0.0
,XXOOOX  O,7,0.0
, OO     X,5,0.5625
, OO OX  X,7,0.0
, OOOOX XX,0,0.0
,O OX     ,1,3.1500000000000004
,OXOX O   ,7,1.5
,    O    ,0,13.0095
,X  OO    ,5,1.53
,X  OOXO  ,1,1.5
,XX OOXOO ,2,6.0
,  XO    O,1,2.625
, XXO O  O,6,0.0
,  X   OO ,0,0.5625
,XOX   OO ,4,0.75
,XOXOX OO ,5,0.0
,O O     X,5,1.7775
,O O OX  X,6,1.35
,O O OXXOX,3,0.0
, O O  X  ,5,1.3725
, O O XXO ,8,0.0
,    OX  O,6,0.81
,   OOXX O,1,0.0
,    O    ,6,60.917625
,    OOX  ,0,11.4375
,X   OOX O,3,9.0
,    O O X,3,0.9675
,O  XO O X,7,0.45
, OO  X   ,6,0.405
, OOO XX  ,0,0.0
,XOOO XXO ,8,0.0
, XO    O ,6,2.1825
, XO   XOO,3,0.75
,OXOX  XOO,4,0.0
,XO   O   ,8,0.0
,XO   OO X,2,0.0
,XOX OOO X,3,0.0
,   OO   X,1,0.9675
,  O O  X ,6,1716.9449999999997
,  O O XXO,5,9.0
, OO OXXXO,0,7.5
,   OOX   ,7,0.0
,   OOX XO,2,0.45
, OXOOX XO,6,0.0
, O X  O  ,4,1.7175
, O XX OO ,5,4.0
,   O   XO,4,0.75
,  OOX  XO,1,18.0
, O   X  O,7,3.7125
, O O X XO,2,0.0
,OOXO X XO,6,0.0
,   XOXOO ,8,0.0
,XO  XOO  ,3,2.25
,XO XXOOO ,2,0.0
,  O    OX,3,0.81
,  OXO  OX,1,0.45
,OXOXO  OX,6,1.0
,O XO     ,7,0.0
,       O ,8,15.426
,     O OX,1,1.935
, X  OO OX,0,0.0
,  X  O O ,0,3.9375
,X X OO O ,1,3.0
,O  OX    ,8,2.25
,  X OO   ,3,1.125
,  XXOO  O,1,1.5
, XXXOOO O,7,0.0
,XXOO O   ,7,0.75
,O   O  X ,8,0.75
,O   OO XX,3,0.45
,O  XOOOXX,1,0.0
,XO O     ,5,4.1175
,XOOO X   ,7,1.35
,XOOO X XO,6,3.0
,OX      O,5,0.0
,OX   X OO,4,1.65
,       O ,4,29.899125
,   OX  O ,6,11.175
,O  OX XO ,5,2.7
,OO OXXXO ,2,3.0
,X    O O ,6,0.5625
,XO   OXO ,8,1.5
,XOO  OXOX,4,10.0
,  O O  X ,5,30.35250000000001
