Unnamed: 0,state,action,pos
,  O  XOX ,3,10.78125
,  OO XOXX,1,8.25
, OOOXXOXX,0,26.0
,  X OO  X,7,0.28125
,  XXOO OX,0,0.375
,OXXXOO OX,6,4.0
,XXO    O ,4,0.5625
,XXOOOX OX,6,10.0
,   O X XO,4,3.0
, X OOX XO,0,2.0
,   O  XOX,2,1.125
,X OO  XOX,5,1.5
, O  XX O ,3,0.5625
, OXOXX O ,6,1.5
,     O X ,8,3.234375
, X   O XO,4,3.75
, X XOO XO,0,2.0
,O  X  OX ,5,0.84375
,OX X OOX ,8,0.75
, O    X  ,8,1.828125
, OX   X O,3,1.6875
,       OX,4,15.3046875
,X   O  OX,5,6.0
,X X OO OX,1,8.0
,O       X,3,12.1875
,O  OX   X,5,0.75
,O  OXO XX,6,4.0
, XO      ,6,17.671875
, XO X O  ,7,3.84375
, XOXX OO ,8,5.0
,    XO   ,1,3.5859375
, OX XO   ,6,0.84375
, OXXXOO  ,7,2.25
,    OX   ,2,4.3359375
,  O OX X ,8,52.5
, XO OX XO,6,3.0
,O   X  OX,6,2.15625
,OX  X OOX,5,1.875
, X  O    ,3,2.296875
, X OO  X ,0,1.3125
,OX OO XX ,2,2.25
,OXOOOXXX ,8,25.0
,       OX,3,3.375
,   O X OX,2,0.28125
, XOO X OX,4,2.25
, XOOOXXOX,0,14.5
,  X    O ,8,2.859375
, XX    OO,5,0.0
, XX  OXOO,3,0.0
, O   OX X,0,1.875
,OO  XOX X,3,0.0
,OO XX    ,7,4.3125
,    OX XO,0,7.0
,O X      ,8,2.3671875
,XXO   O  ,3,0.5625
,XXOOX O  ,7,1.5
,XXOOXXOO ,8,13.0
,    OX   ,0,3.0703125
,O X OX   ,6,1.5
, O     X ,3,3.375
, O OX  X ,2,0.0
, OOOX  XX,6,0.75
, X     O ,8,2.109375
, X   X OO,0,3.09375
,OX  XX OO,2,0.75
,OXO XXXOO,3,29.0
, X      O,3,2.53125
, X O   XO,0,0.75
,OX O  XXO,2,0.0
,X   O    ,5,14.203125
,X   OO  X,7,2.0625
,X  XOO OX,1,2.0
,  XOO   X,5,5.0
,    X  O ,8,2.4375
,   XX  OO,0,1.5
,O  XX XOO,1,0.0
,  O   X  ,1,22.9453125
, OO  XX  ,0,3.0
,  O   X  ,4,7.453125
,  O OXX  ,3,0.84375
,X OOOXX  ,7,1.875
,XXOOOXXO ,8,11.5
,  X     O,7,3.84375
,  XX   OO,1,3.1875
,XOXX   OO,5,2.25
,XOXXXO OO,6,11.0
,OX       ,5,5.203125
,OX   O X ,8,2.25
,OX X O XO,4,2.0
,  XO OX  ,1,0.0
, OXO OX X,7,0.0
,  O X    ,1,64.0546875
,XOO X    ,3,2.25
,XOOOX  X ,6,0.375
,    X  O ,1,2.8828125
,XO  X  O ,3,4.21875
,XO OXX O ,6,0.75
,  O   X  ,0,18.5390625
,O O X X  ,1,14.0
, XO      ,3,9.4921875
, XOOX    ,8,0.5625
,O O X   X,1,11.0
,    O   X,6,4.125
,    OXO X,7,0.75
, X  OXOOX,2,2.0
, X   O   ,7,2.8125
, X X O O ,0,1.6875
,OX X OXO ,8,0.75
, OOX  X  ,4,1.5
, OOXO X X,7,4.0
, OX      ,3,6.46875
,XOXO     ,6,1.125
,XOXOX O  ,8,2.25
,XOXOXXO O,7,9.0
,  X     O,0,5.2265625
,O X X   O,5,0.28125
,O X XO XO,3,0.0
,  XOXXO O,0,7.0
,O    XOX ,3,2.0
,   O X   ,2,4.8515625
,  OO XX  ,1,0.5625
, OOO XX X,7,0.75
,  O X    ,8,13.8515625
,X O X   O,1,1.03125
,XOO XX  O,3,2.625
,XOOOXXX O,7,17.5
, XX   OO ,3,0.5625
, XXO  OOX,4,0.0
,   O   X ,0,3.984375
,O  OX  X ,8,0.75
,O XOX  XO,6,3.0
,  O XO X ,6,1.125
,  OXXOOX ,0,1.5
,O OXXOOXX,1,26.0
,   O  X  ,0,3.234375
,O  O XX  ,7,0.5625
,O  O XXOX,1,1.5
,OO OXXXOX,2,7.0
,  OXX  O ,8,0.75
,  OXX XOO,1,0.0
,    OX   ,7,4.40625
,   XOX O ,6,1.125
,  XXOXOO ,0,1.5
,OXXXOXOO ,8,8.0
,  O   X  ,7,13.640625
,  O  XXO ,1,8.625
